Fuel Type Code,Street Address,Intersection Directions,City,ZIP,Plus4,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,EV J1772 Connector Count,EV J1772 Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW)
ELEC,555 N Point St,,San Francisco,94133,,Public,24 hours daily; pay lot; see valet for access,,1,,GPS,37.80619,-122.4152,5/3/23,7280,2024-01-31 22:07:01 UTC,P,,,7/1/98,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,2 New Montgomery St,,San Francisco,94105,,Public,24 hours daily,,2,,GPS,37.78881,-122.401,5/3/23,21358,2024-01-31 22:07:01 UTC,P,,,1/31/02,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,$7 per session,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,2 New Montgomery St,,San Francisco,94105,,Public,24 hours daily,,2,,GPS,37.78881,-122.401,5/3/23,21358,2024-01-31 22:07:01 UTC,P,,,1/31/02,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,$7 per session,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,999 California St,California at Mason,San Francisco,94108,,Public,24 hours daily; for guest use only; see valet for access,,1,,200-8,37.791791,-122.411265,8/15/24,21360,2024-08-15 19:57:12 UTC,P,,,1/31/02,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,1441 Research Park Dr,,Davis,95616,,Public,24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,1,3,,GPS,38.539336,-121.732405,1/10/23,21673,2023-02-14 15:54:11 UTC,SG,,,6/1/04,,,,,J1772 NEMA520,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Parking fee,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,1441 Research Park Dr,,Davis,95616,,Public,24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,1,3,,GPS,38.539336,-121.732405,1/10/23,21673,2023-02-14 15:54:11 UTC,SG,,,6/1/04,,,,,J1772 NEMA520,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Parking fee,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,0,,0,,0,,0,
ELEC,1441 Research Park Dr,,Davis,95616,,Public,24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,1,3,,GPS,38.539336,-121.732405,1/10/23,21673,2023-02-14 15:54:11 UTC,SG,,,6/1/04,,,,,J1772 NEMA520,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Parking fee,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,1441 Research Park Dr,,Davis,95616,,Public,24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,1,3,,GPS,38.539336,-121.732405,1/10/23,21673,2023-02-14 15:54:11 UTC,SG,,,6/1/04,,,,,J1772 NEMA520,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Parking fee,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,1000 Ulatis Dr,,Vacaville,95687,,Public,24 hours daily,,1,,GPS,38.356027,-121.9628,7/11/24,25511,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,155 Browns Valley Pkwy,,Vacaville,95688,,Public,24 hours daily,,4,,GPS,38.36557,-121.967,7/11/24,25514,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,155 Browns Valley Pkwy,,Vacaville,95688,,Public,24 hours daily,,4,,GPS,38.36557,-121.967,7/11/24,25514,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,155 Browns Valley Pkwy,,Vacaville,95688,,Public,24 hours daily,,4,,GPS,38.36557,-121.967,7/11/24,25514,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,155 Browns Valley Pkwy,,Vacaville,95688,,Public,24 hours daily,,4,,GPS,38.36557,-121.967,7/11/24,25514,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,190 Hickory Ln,,Vacaville,95688,,Public,24 hours daily,,2,,GPS,38.35172,-121.987,7/11/24,25515,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,190 Hickory Ln,,Vacaville,95688,,Public,24 hours daily,,2,,GPS,38.35172,-121.987,7/11/24,25515,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,40 Eldridge Ave,At Morales Ct,Vacaville,95688,,Public,24 hours daily,,2,,200-9,38.356907,-122.001886,7/11/24,25516,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,40 Eldridge Ave,At Morales Ct,Vacaville,95688,,Public,24 hours daily,,2,,200-9,38.356907,-122.001886,7/11/24,25516,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,500 Catherine St,At Davis St,Vacaville,95688,,Public,24 hours daily,,1,,GPS,38.355867,-121.9862,7/11/24,25517,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,500 Catherine St,At Davis St,Vacaville,95688,,Public,24 hours daily,,1,,GPS,38.355867,-121.9862,7/11/24,25517,2024-07-11 19:05:43 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,,0,,0,,0,,0,
ELEC,650 Merchant St,,Vacaville,95688,,Public,24 hours daily; Primarily government use,,7,,200-9,38.351758,-121.994475,8/15/24,25518,2024-08-15 19:57:12 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,1,,0,,0,,0,
ELEC,650 Merchant St,,Vacaville,95688,,Public,24 hours daily; Primarily government use,,7,,200-9,38.351758,-121.994475,8/15/24,25518,2024-08-15 19:57:12 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,0,,0,,0,,0,
ELEC,650 Merchant St,,Vacaville,95688,,Public,24 hours daily; Primarily government use,,7,,200-9,38.351758,-121.994475,8/15/24,25518,2024-08-15 19:57:12 UTC,LG,,,6/15/04,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,,0,,0,,0,,0,
